Name,PropertyType,HostID,HostName,HostLocation,HostResponseTime,HostResponseRate,RoomType,BedType,MinNights,MaxNights,GuestCount,ExtraGuestCount,GuestWithPay,BedRoomsCount,No_Of_Beds,No_Of_Bathrooms,CancellationPolicy,Price,Currency,Address_Property,Location,LocationCode,Longitude,Latitude,Availability_365,Is_location_exact,Total_ReviewsCount,ReviewScores
Large railroad style 3 bedroom apt in Manhattan!,Apartment,35215309,Vick,"New York, New York, United States",Not Specified,100.0,Entire home/apt,Real Bed,3,6,9,19.0,4.0,3.0,4.0,1.0,strict_14_with_grace_period,180.0,USD,"New York, NY, United States",United States,US,-73.93943,40.79805,0,True,22,10.0
Resort-like living in Williamsburg,Apartment,14461742,Mohammed,"Paris, Île-de-France, France",Not Specified,100.0,Entire home/apt,Real Bed,5,1125,4,0.0,1.0,2.0,2.0,1.0,strict_14_with_grace_period,220.0,USD,"Brooklyn, NY, United States",United States,US,-73.93869,40.71552,0,True,1,10.0
Private Room (2)  in Guest House at Coogee Beach,House,5595776,David,"Sydney, New South Wales, Australia",within a few hours,100.0,Private room,Real Bed,3,365,2,0.0,1.0,1.0,2.0,3.5,strict_14_with_grace_period,64.0,AUD,"Coogee, NSW, Australia",Australia,AU,151.25541,-33.92398,20,True,8,10.0
Apto semi mobiliado,Apartment,52299431,Ricardo,BR,Not Specified,100.0,Entire home/apt,Real Bed,1,1125,2,0.0,1.0,2.0,2.0,1.0,flexible,380.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.24277868091869,-22.915009354482486,365,False,0,10.0
Roof double bed private room,Loft,52316085,Mustafa,"Istanbul, İstanbul, Turkey",Not Specified,100.0,Private room,Real Bed,1,1125,2,0.0,1.0,1.0,2.0,1.0,flexible,185.0,TRY,"Istanbul, İstanbul, Turkey",Turkey,TR,29.03693,41.12452,365,False,0,10.0
"Cozy Nest, heart of the Plateau",Apartment,39300,Lilou,"Montreal, Quebec, Canada",within a day,100.0,Private room,Real Bed,2,120,1,10.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,34.0,CAD,"Montreal, QC, Canada",Canada,CA,-73.58774,45.52028,0,True,62,10.0
Uygun nezih daire,Apartment,37417314,Yaşar,"Istanbul, Turkey",within a day,100.0,Entire home/apt,Real Bed,1,1125,4,53.0,1.0,1.0,2.0,1.0,flexible,264.0,TRY,"Zeytinburnu, İstanbul, Turkey",Turkey,TR,28.89964,40.99667,365,False,0,10.0
Ipanema: moderno apê 2BR + garagem,Apartment,2537111,Barbara,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a few hours,92.0,Entire home/apt,Real Bed,4,1125,4,50.0,2.0,2.0,2.0,2.0,strict_14_with_grace_period,298.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.1998455458952,-22.980051683700506,174,False,24,9.0
"Friendly Apartment, 10m from Manly",Apartment,52453573,Isaac,"Sydney, New South Wales, Australia",Not Specified,100.0,Private room,Real Bed,1,1125,2,20.0,2.0,1.0,1.0,1.0,flexible,36.0,AUD,"Fairlight, NSW, Australia",Australia,AU,151.26969,-33.79629,0,False,4,10.0
Great studio opp. Narrabeen Lake,Apartment,634664,Tracy,"New South Wales, Australia",within an hour,100.0,Entire home/apt,Real Bed,1,1125,2,20.0,1.0,0.0,1.0,1.0,moderate,117.0,AUD,"Narrabeen, NSW, Australia",Australia,AU,151.29792,-33.71472,26,True,61,10.0
Cozy Queen Guest Room&My,Apartment,52473150,Danny,Hong Kong,within an hour,97.0,Private room,Real Bed,1,500,2,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,330.0,HKD,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.17034,22.31655,135,True,9,8.0
Cozy aptartment in Recreio (near Olympic Venues),Apartment,31553171,José Augusto,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Not Specified,100.0,Entire home/apt,Real Bed,2,30,6,187.0,4.0,3.0,3.0,3.0,flexible,746.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.45296045334386,-23.008710784460312,0,True,0,10.0
"Kailua-Kona, Kona Coast II 2b condo",Apartment,3393610,Daniel,"Las Vegas, Nevada, United States",Not Specified,100.0,Entire home/apt,Real Bed,7,7,6,0.0,1.0,2.0,3.0,2.0,strict_14_with_grace_period,135.0,USD,"Kailua-Kona, HI, United States",United States,US,-155.96445,19.5702,196,True,1,10.0
"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,12057949,Holly,"Las Vegas, Nevada, United States",within a day,91.0,Entire home/apt,Real Bed,1,1125,4,0.0,1.0,1.0,2.0,1.0,strict_14_with_grace_period,499.0,USD,"Lahaina, HI, United States",United States,US,-156.68012,20.96996,365,True,1,10.0
Quarto inteiro na Tijuca,Apartment,12673423,Gilberto,"Rio, Rio de Janeiro, Brazil",Not Specified,100.0,Private room,Real Bed,1,15,1,0.0,1.0,1.0,1.0,2.0,flexible,149.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.247421907135774,-22.936203246553816,178,False,1,8.0
Twin Bed room+MTR Mongkok shopping&My,Apartment,52473150,Danny,Hong Kong,within an hour,97.0,Private room,Real Bed,1,500,3,0.0,1.0,1.0,2.0,1.0,strict_14_with_grace_period,400.0,HKD,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.17073,22.31723,145,True,22,8.0
Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,52491634,Ricky,Hong Kong,within a few hours,100.0,Private room,Real Bed,1,1125,2,0.0,1.0,1.0,1.0,1.0,moderate,487.0,HKD,"Hong Kong, New Territories, Hong Kong",Hong Kong,HK,113.92823,22.27671,339,False,162,10.0
Your spot in Copacabana,Apartment,52772199,Ana Lúcia,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a few hours,100.0,Entire home/apt,Real Bed,2,15,6,20.0,4.0,2.0,5.0,2.0,strict_14_with_grace_period,798.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.17714541632985,-22.96270793328072,247,False,8,10.0
Makaha Valley Paradise with OceanView,Condominium,42868615,Ray And Lise,"Chilliwack, British Columbia, Canada",within an hour,100.0,Entire home/apt,Pull-out Sofa,3,180,4,0.0,1.0,1.0,2.0,1.0,moderate,95.0,USD,"Waianae, HI, United States",United States,US,-158.20291,21.4818,246,True,32,10.0
IPANEMA LUXURY PENTHOUSE with MAID,Apartment,4428126,Cesar,"Rio de Janeiro, Rio de Janeiro, Brazil",within a few hours,93.0,Entire home/apt,Real Bed,1,1125,3,112.0,3.0,1.0,1.0,1.0,strict_14_with_grace_period,858.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.20056249420509,-22.98034625363379,345,True,29,10.0
FloresRooms 3T,Apartment,51724179,Andreia,"Porto, Porto District, Portugal",within an hour,100.0,Entire home/apt,Real Bed,2,1124,2,0.0,1.0,0.0,1.0,1.0,moderate,31.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.61205,41.14404,278,False,225,10.0
~Ao Lele~ Flying Cloud,Treehouse,52785887,Mike,"Volcano, Hawaii, United States",within a few hours,100.0,Entire home/apt,Real Bed,2,30,2,0.0,2.0,1.0,1.0,1.5,strict_14_with_grace_period,185.0,USD,"Volcano, HI, United States",United States,US,-155.21763,19.42151,165,False,103,10.0
"Amazing and Big Apt, Ipanema Beach.",Apartment,52966539,Pedro,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Not Specified,100.0,Entire home/apt,Real Bed,1,1125,6,0.0,1.0,3.0,4.0,3.0,flexible,1999.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.20465630892734,-22.983108745795256,0,False,0,10.0
Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,52988408,Fernanda,BR,Not Specified,100.0,Private room,Real Bed,4,1125,1,0.0,1.0,1.0,1.0,1.0,moderate,71.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.17645081249057,-22.93848268819496,0,False,1,8.0
UWS Brownstone Near Central Park,Apartment,178043,Chas,"San Francisco, California, United States",within a day,95.0,Entire home/apt,Real Bed,21,30,3,0.0,1.0,1.0,3.0,1.0,moderate,212.0,USD,"New York, NY, United States",United States,US,-73.9696,40.78558,5,True,45,9.0
Alugo Apart frente mar Barra Tijuca,Apartment,53027036,Paulo Cesar,BR,Not Specified,100.0,Entire home/apt,Real Bed,10,90,4,0.0,1.0,1.0,2.0,1.0,flexible,933.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.36831676949888,-23.011117008024065,363,True,0,10.0
Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,465278,Ade,"Brooklyn, NY",within a few hours,100.0,Entire home/apt,Real Bed,2,300,2,300.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,175.0,USD,"Brooklyn, NY, United States",United States,US,-73.96053,40.71577,363,True,117,10.0
Private OceanFront - Bathtub Beach. Spacious House,House,53086419,Noah,"Laie, Hawaii, United States",within a day,50.0,Entire home/apt,Real Bed,3,1125,14,0.0,1.0,4.0,10.0,4.0,strict_14_with_grace_period,795.0,USD,"Laie, HI, United States",United States,US,-157.91952,21.63549,229,True,32,10.0
